zip,city,county,population
18411,Clarks Summit,Lackawanna,21312
18020,Bethlehem,Northampton,21196
19122,Philadelphia,Philadelphia,21067
17044,Lewistown,Mifflin,21013
19014,Aston,Delaware,21012
15241,Pittsburgh,Allegheny,20952
15132,Mc Keesport,Allegheny,20915
18504,Scranton,Lackawanna,20632
17225,Greencastle,Franklin,20576
19061,Marcus Hook,Delaware,20525
15239,Pittsburgh,Allegheny,20523
19073,Newtown Square,Delaware,20421
17552,Mount Joy,Lancaster,20369
18976,Warrington,Bucks,20313
19008,Broomall,Delaware,20240
19342,Glen Mills,Delaware,20069
17104,Harrisburg,Dauphin,19765
15905,Johnstown,Cambria,19676
17837,Lewisburg,Union,19665
15122,West Mifflin,Allegheny,19500
18603,Berwick,Columbia,19441
15106,Carnegie,Allegheny,19438
15202,Pittsburgh,Allegheny,19261
19440,Hatfield,Montgomery,19218
19027,Elkins Park,Montgomery,19216
17019,Dillsburg,York,19159
19341,Exton,Chester,19133
19422,Blue Bell,Montgomery,19018
15425,Connellsville,Fayette,18905
18235,Lehighton,Carbon,18904
18013,Bangor,Northampton,18880
15801,Du Bois,Clearfield,18871
19605,Reading,Berks,18863
17821,Danville,Montour,18773
18612,Dallas,Luzerne,18761
15644,Jeannette,Westmoreland,18550
16652,Huntingdon,Huntingdon,18469
15120,Homestead,Allegheny,18424
19428,Conshohocken,Montgomery,18215
19090,Willow Grove,Montgomery,18202
17745,Lock Haven,Clinton,18195
17033,Hershey,Dauphin,17969
19046,Jenkintown,Montgomery,17961
19473,Schwenksville,Montgomery,17910
17512,Columbia,Lancaster,17802
19123,Philadelphia,Philadelphia,17793
19465,Pottstown,Chester,17750
16365,Warren,Warren,17675
18067,Northampton,Northampton,17608
18049,Emmaus,Lehigh,17601
18466,Tobyhanna,Monroe,17531
15228,Pittsburgh,Allegheny,17508
18109,Allentown,Lehigh,17425
15220,Pittsburgh,Allegheny,17401
19057,Levittown,Bucks,17240
19363,Oxford,Chester,17170
19525,Gilbertsville,Montgomery,17148
16701,Bradford,Mckean,17072
16125,Greenville,Mercer,17056
16046,Mars,Butler,17044
19054,Levittown,Bucks,17040
17401,York,York,16973
18640,Pittston,Luzerne,16917
19001,Abington,Montgomery,16871
15057,Mc Donald,Washington,16834
18040,Easton,Northampton,16790
19512,Boyertown,Berks,16736
15147,Verona,Allegheny,16693
19015,Brookhaven,Delaware,16647
16201,Kittanning,Armstrong,16645
19126,Philadelphia,Philadelphia,16609
17070,New Cumberland,Cumberland,16609
16504,Erie,Erie,16571
17025,Enola,Cumberland,16511
19425,Chester Springs,Chester,16445
19602,Reading,Berks,16410
15904,Johnstown,Cambria,16347
16117,Ellwood City,Lawrence,16285
19044,Horsham,Montgomery,16216
19056,Levittown,Bucks,16153
15501,Somerset,Somerset,16150
15219,Pittsburgh,Allegheny,16101
16508,Erie,Erie,16021
17517,Denver,Lancaster,15974
16148,Hermitage,Mercer,15949
19530,Kutztown,Berks,15939
15025,Clairton,Allegheny,15911
18707,Mountain Top,Luzerne,15891
19610,Reading,Berks,15871
18706,Wilkes Barre,Luzerne,15861
16503,Erie,Erie,15855
16502,Erie,Erie,15818
15666,Mount Pleasant,Westmoreland,15750
19518,Douglassville,Berks,15619
16505,Erie,Erie,15615
17801,Sunbury,Northumberland,15583
19508,Birdsboro,Berks,15523
16002,Butler,Butler,15509
15017,Bridgeville,Allegheny,15363
17870,Selinsgrove,Snyder,15273
16127,Grove City,Mercer,15263
15012,Belle Vernon,Fayette,15243
19462,Plymouth Meeting,Montgomery,15203
16105,New Castle,Lawrence,15147
16323,Franklin,Venango,15141
15009,Beaver,Beaver,15114
17067,Myerstown,Lebanon,15111
16301,Oil City,Venango,15044
18969,Telford,Montgomery,14930
17557,New Holland,Lancaster,14860
19107,Philadelphia,Philadelphia,14689
16057,Slippery Rock,Butler,14434
18705,Wilkes Barre,Luzerne,14425
18036,Coopersburg,Lehigh,14399
15229,Pittsburgh,Allegheny,14378
16648,Hollidaysburg,Blair,14374
18964,Souderton,Montgomery,14307
19096,Wynnewood,Montgomery,14262
15767,Punxsutawney,Jefferson,14229
15214,Pittsburgh,Allegheny,14203
18337,Milford,Pike,14192
15116,Glenshaw,Allegheny,14088
15370,Waynesburg,Greene,13994
18444,Moscow,Lackawanna,13938
15226,Pittsburgh,Allegheny,13925
19390,West Grove,Chester,13821
18509,Scranton,Lackawanna,13786
15234,Pittsburgh,Allegheny,13711
19055,Levittown,Bucks,13672
19003,Ardmore,Delaware,13641
18407,Carbondale,Lackawanna,13629
18938,New Hope,Bucks,13560
16830,Clearfield,Clearfield,13551
19106,Philadelphia,Philadelphia,13536
18510,Scranton,Lackawanna,13534
19522,Fleetwood,Berks,13531
15218,Pittsburgh,Allegheny,13495
15668,Murrysville,Westmoreland,13469
18634,Nanticoke,Luzerne,13212
15613,Apollo,Westmoreland,13122
16146,Sharon,Mercer,13115
17362,Spring Grove,York,13088
18643,Pittston,Luzerne,13049
15243,Pittsburgh,Allegheny,12991
19036,Glenolden,Delaware,12984
18436,Lake Ariel,Wayne,12960
15201,Pittsburgh,Allegheny,12922
19153,Philadelphia,Philadelphia,12909
16686,Tyrone,Blair,12879
17350,New Oxford,Adams,12830
18353,Saylorsburg,Monroe,12806
16137,Mercer,Mercer,12769
15215,Pittsburgh,Allegheny,12637
17003,Annville,Lebanon,12565
17103,Harrisburg,Dauphin,12495
15066,New Brighton,Beaver,12487
16635,Duncansville,Blair,12438
15857,Saint Marys,Elk,12433
17754,Montoursville,Lycoming,12392
18508,Scranton,Lackawanna,12368
15238,Pittsburgh,Allegheny,12358
16428,North East,Erie,12313
17740,Jersey Shore,Lycoming,12306
17756,Muncy,Lycoming,12305
15061,Monaca,Beaver,12178
17566,Quarryville,Lancaster,12147
19344,Honey Brook,Chester,12145
19086,Wallingford,Delaware,12142
18431,Honesdale,Wayne,12133
15209,Pittsburgh,Allegheny,12087
15232,Pittsburgh,Allegheny,12017
18055,Hellertown,Northampton,12000
19030,Fairless Hills,Bucks,11989
17241,Newville,Cumberland,11877
18014,Bath,Northampton,11738
18428,Hawley,Pike,11668
19350,Landenberg,Chester,11606
15071,Oakdale,Allegheny,11595
18657,Tunkhannock,Wyoming,11575
18512,Scranton,Lackawanna,11550
18202,Hazleton,Luzerne,11527
15063,Monongahela,Washington,11511
18080,Slatington,Lehigh,11498
18960,Sellersville,Bucks,11484
16802,University Park,Centre,11473
19475,Spring City,Chester,11457
18954,Richboro,Bucks,11456
17319,Etters,York,11440
16511,Erie,Erie,11439
17847,Milton,Northumberland,11433
19352,Lincoln University,Chester,11432
19526,Hamburg,Berks,11415
19129,Philadelphia,Philadelphia,11408
19078,Ridley Park,Delaware,11379
18031,Breinigsville,Lehigh,11354
19540,Mohnton,Berks,11342
19312,Berwyn,Chester,11338
15065,Natrona Heights,Allegheny,11280
17313,Dallastown,York,11269
15003,Ambridge,Beaver,11212
15522,Bedford,Bedford,11196
15224,Pittsburgh,Allegheny,11079
17340,Littlestown,Adams,11024
17551,Millersville,Lancaster,11011
17972,Schuylkill Haven,Schuylkill,10936
18073,Pennsburg,Montgomery,10920
15902,Johnstown,Cambria,10905
19444,Lafayette Hill,Montgomery,10855
19118,Philadelphia,Philadelphia,10826
16354,Titusville,Crawford,10819
16407,Corry,Erie,10816
15203,Pittsburgh,Allegheny,10782
17540,Leola,Lancaster,10773
18840,Sayre,Bradford,10756
18252,Tamaqua,Schuylkill,10720
